id	name	date	user_id	class	tag_based
295596	Great Answer	2009-04-28 17:12:39.190000 UTC	13118	1	false
507969	Fanatic	2009-10-24 17:52:55.227000 UTC	4555	1	false
892036	Great Answer	2010-06-30 02:17:37.620000 UTC	265143	1	false
1064079	Great Answer	2010-09-16 10:10:53.267000 UTC	14032	1	false
1104753	Fanatic	2010-10-03 01:13:37.143000 UTC	176307	1	false
1515542	Great Answer	2011-03-11 08:28:17.010000 UTC	9634	1	false
1679256	Electorate	2011-05-02 10:45:22.287000 UTC	426379	1	false
1720360	Fanatic	2011-05-13 09:19:56.647000 UTC	518649	1	false
1899003	Copy Editor	2011-07-04 11:24:15.827000 UTC	105224	1	false
1949856	Fanatic	2011-07-16 18:11:02.783000 UTC	565486	1	false
2030522	Great Answer	2011-08-08 07:58:19.100000 UTC	35999	1	false
2382243	Fanatic	2011-10-31 04:11:24.860000 UTC	298689	1	false
2497781	Great Answer	2011-11-25 18:35:11.520000 UTC	9021	1	false
2557365	Fanatic	2011-12-09 01:27:03.240000 UTC	235349	1	false
3506955	Publicist	2012-06-02 20:28:10.223000 UTC	1288	1	false
3644525	Unsung Hero	2012-06-12 05:06:45.263000 UTC	852081	1	false
3989732	Great Question	2012-08-04 19:02:32.303000 UTC	195543	1	false
4030853	Great Answer	2012-08-11 00:58:39.863000 UTC	47181	1	false
4065081	Great Answer	2012-08-16 20:15:36.297000 UTC	23659	1	false
4210378	Fanatic	2012-09-10 01:18:34.860000 UTC	336001	1	false
4729318	Populist	2012-11-09 13:30:36.730000 UTC	472840	1	false
4826014	android	2012-11-21 03:00:56.717000 UTC	966550	1	true
4982353	Unsung Hero	2012-12-08 17:20:42.003000 UTC	346789	1	false
5359972	Great Answer	2013-01-28 01:26:49.457000 UTC	6300	1	false
5374158	Great Question	2013-01-29 11:42:23.387000 UTC	2138	1	false
5400959	Unsung Hero	2013-01-31 20:00:16.523000 UTC	619852	1	false
6170120	Unsung Hero	2013-04-18 15:28:03.840000 UTC	98094	1	false
6303387	Steward	2013-05-03 07:25:29.220000 UTC	1014822	1	false
6496142	Steward	2013-05-24 12:46:25.217000 UTC	128662	1	false
6623351	Great Question	2013-06-07 19:16:58.057000 UTC	21155	1	false
6749041	Unsung Hero	2013-06-21 23:50:49.690000 UTC	1570024	1	false
6788950	Electorate	2013-06-26 19:17:02.893000 UTC	1288589	1	false
7000412	Great Answer	2013-07-20 11:07:36.200000 UTC	17086	1	false
7050976	Electorate	2013-07-25 18:43:19.910000 UTC	173497	1	false
7082880	Great Answer	2013-07-29 19:19:45.530000 UTC	24587	1	false
7118234	Unsung Hero	2013-08-01 21:03:06.080000 UTC	1211528	1	false
7224787	java	2013-08-14 03:03:59.270000 UTC	126769	1	true
7245587	codeigniter	2013-08-16 03:03:46.207000 UTC	124378	1	true
7291842	Great Question	2013-08-21 14:58:56.350000 UTC	115183	1	false
7573600	Great Question	2013-09-21 09:44:34.917000 UTC	270085	1	false
7635380	Electorate	2013-09-27 15:15:46.983000 UTC	1443080	1	false
7704391	Fanatic	2013-10-05 00:04:42.520000 UTC	1856015	1	false
7726793	Great Answer	2013-10-08 02:47:40.513000 UTC	201952	1	false
7762916	Stellar Question	2013-10-11 05:22:40.227000 UTC	2635	1	false
7859158	Great Answer	2013-10-21 20:25:24.397000 UTC	476895	1	false
7986407	Populist	2013-11-04 01:53:39.723000 UTC	512143	1	false
8193620	Great Answer	2013-11-24 13:08:09.003000 UTC	700728	1	false
8233442	Great Answer	2013-11-28 01:17:57.907000 UTC	374797	1	false
8437506	Fanatic	2013-12-18 08:14:14.930000 UTC	2764255	1	false
8591102	Great Answer	2014-01-06 22:40:42.283000 UTC	21973	1	false
8640925	Great Answer	2014-01-11 10:47:55.680000 UTC	1558171	1	false
8707185	Populist	2014-01-17 18:04:08.290000 UTC	74003	1	false
8784924	Electorate	2014-01-25 09:51:27.757000 UTC	1300224	1	false
8807546	Great Answer	2014-01-28 01:48:17.750000 UTC	1445366	1	false
8891390	Fanatic	2014-02-05 00:06:49.423000 UTC	308851	1	false
8956398	Fanatic	2014-02-11 00:04:48.067000 UTC	1843663	1	false
9009703	Steward	2014-02-14 15:26:15.610000 UTC	2457005	1	false
9127146	Great Answer	2014-02-21 11:48:35.050000 UTC	682308	1	false
9202982	Populist	2014-02-25 17:26:29.150000 UTC	445163	1	false
9246458	Electorate	2014-02-28 23:51:37.990000 UTC	243238	1	false
9269105	Great Answer	2014-03-03 19:12:04.743000 UTC	638649	1	false
9365643	Fanatic	2014-03-12 10:48:38.210000 UTC	2632171	1	false
9516078	Fanatic	2014-03-26 06:39:19.357000 UTC	846141	1	false
9557954	Fanatic	2014-03-30 03:20:39.573000 UTC	3037257	1	false
9631961	Steward	2014-04-06 08:20:43.593000 UTC	352176	1	false
9738244	Great Answer	2014-04-16 12:43:56.060000 UTC	222908	1	false
9810053	Great Answer	2014-04-24 02:52:53.317000 UTC	969325	1	false
9888842	Unsung Hero	2014-05-02 03:53:57.633000 UTC	1347291	1	false
9975369	Great Question	2014-05-11 14:24:46.097000 UTC	51630	1	false
10055032	Electorate	2014-05-19 21:58:32.997000 UTC	733876	1	false
10057073	Great Question	2014-05-20 05:03:11.217000 UTC	179736	1	false
10130552	Great Question	2014-05-27 20:10:59.603000 UTC	2622924	1	false
10421367	Great Question	2014-06-28 13:37:33.583000 UTC	246776	1	false
10610494	Unsung Hero	2014-07-03 10:31:09.793000 UTC	3193867	1	false
10661717	Electorate	2014-07-09 09:38:44.610000 UTC	224279	1	false
10703424	Fanatic	2014-07-14 04:53:35.563000 UTC	1870803	1	false
10820145	Stellar Question	2014-07-25 12:06:58.440000 UTC	9435	1	false
10960283	Copy Editor	2014-08-10 07:11:56.973000 UTC	903790	1	false
10969234	Great Answer	2014-08-11 13:19:11.137000 UTC	224671	1	false
10970384	Populist	2014-08-11 15:06:11.457000 UTC	1968	1	false
11089756	Populist	2014-08-24 22:48:44.177000 UTC	9410	1	false
11247776	Great Answer	2014-09-11 04:07:39.603000 UTC	125967	1	false
11789786	Socratic	2014-10-10 21:02:17.127000 UTC	130758	1	false
11790001	Socratic	2014-10-10 21:32:25.277000 UTC	39677	1	false
11811975	Steward	2014-10-13 19:42:38.320000 UTC	2057919	1	false
11840858	Great Answer	2014-10-16 07:37:54.207000 UTC	28388	1	false
12030357	Populist	2014-11-04 16:23:05.143000 UTC	4279	1	false
12400719	Great Question	2014-12-10 17:00:42.413000 UTC	3233	1	false
12411164	Unsung Hero	2014-12-11 14:00:39.247000 UTC	1793832	1	false
12437880	Steward	2014-12-14 18:54:12.540000 UTC	3172092	1	false
12553901	Fanatic	2014-12-28 07:07:01.603000 UTC	482682	1	false
12796086	Electorate	2015-01-22 23:59:44.953000 UTC	1309332	1	false
12933582	Fanatic	2015-02-05 01:56:43.820000 UTC	3929962	1	false
13055584	Steward	2015-02-16 17:04:51.273000 UTC	1927206	1	false
13071266	Electorate	2015-02-18 00:55:32.233000 UTC	894885	1	false
13095546	Great Question	2015-02-19 20:34:23.077000 UTC	196777	1	false
13202516	Great Answer	2015-03-02 08:38:35.513000 UTC	440602	1	false
13263812	Great Answer	2015-03-07 04:08:38.740000 UTC	27862	1	false
13329963	Great Answer	2015-03-13 07:01:00.277000 UTC	120457	1	false
13685281	Steward	2015-04-13 07:05:52.413000 UTC	3545094	1	false
